city_id,city_name,country,arena_id,arena_name,address,latitude,longitude,is_active,is_confirmed
10,Барановичи,BY,23,Ледовый дворец спорта,"Советский проспект, 20",53.1493182,26.0014462,True,True
13,Береза,BY,26,Ледовая арена,"ул. 17 Сентября, 39",52.5299,24.98099,True,True
24,Бобруйск,BY,38,Бобруйск-арена,Карбышева 11,53.1423013,29.2469144,True,True
9,Брест,BY,22,Брестский ледовый дворец спорта,"ул. Московская, 151",52.0926764,23.7384897,True,True
16,Витебск,BY,29,Дворец спорта,проспект строителей 23,55.1692254,30.2266233,True,True
20,Гомель,BY,33,Гомельский ледовый дворец спорта,"ул. Мазурова, 110",52.4604315,31.0219016,True,True
20,Гомель,BY,34,"Ледовый каток ""Солнечный""","Речицкий проспект, 109",52.4091118,30.9375024,True,True
19,Горки,BY,32,Ледовый дворец,Вокзальная улица 23,54.2747969,30.9993037,True,True
3,Гродно,BY,11,Ледовый дворец спорта,ул. Коммунальная 3а,53.68819,23.824166,True,True
3,Гродно,BY,10,"ТЦ ""Тринити""","проспект Янки Купалы 87, Hrodna, Hrodna Region 230026",53.649866,23.854538,True,True
21,Жлобин,BY,35,Ледовый дворец «Металлург»,"ул. Карла Маркса, 3/1",52.902213,30.0582516,True,True
8,Жодино,BY,20,Ледовая площадка ГУ СДЮШОР,"ул. Лебедевского, 18",54.0942605,28.3262757,True,True
15,Ивацевичи,BY,28,Ледовая арена,Спортивная 3,52.7211098,25.3303487,True,True
12,Кобрин,BY,25,Ледовая арена,Замковая площадь 11А,52.2136574,24.3641108,True,True
23,Лида,BY,37,Ледовый дворец,Качана 31,53.8954462,25.3237632,True,True
26,Лунинец,BY,40,СК Олимп-2011,Красная улица 160Б,52.2600712,26.7899673,True,True
2,Минск,BY,8,"Каток хк ""Юность""","Первомайская улица, 3, Минск, Минская область",53.90141,27.57375,True,True
2,Минск,BY,5,Ледовый дворец спорта Минской области,"ул. Притыцкого 27, Минск, Минская область",53.90757,27.48631,True,True
2,Минск,BY,12,Лыжероллерная трасса,Победителей 20/3,53.9427,27.4939,True,True
2,Минск,BY,2,Минск Арена,"пр-т. Победителей 111, Минск, Минская область",53.9394,27.4685,True,True
2,Минск,BY,9,Олимпик-арена,"ул. Ратомская 2, Минск, Минская область",53.94297,27.45714,True,True
2,Минск,BY,4,СДЮШОР по фигурному катанию,"Минск, пр-т Каролинский, 5",53.85639,27.4907,True,True
2,Минск,BY,7,ТЦ DiaMond city,"Щомыслицкий с/с 32/4, Минск, Минская область",53.84966,27.433552,True,True
2,Минск,BY,3,ТЦ Замок,"пр-т. Победителей 65, Минск, Минская область",53.92635,27.51738,True,True
2,Минск,BY,13,Хоккейный центр “JUSTSKATE”,Кальварийская 18,53.9069638,27.5315572,True,True
2,Минск,BY,14,Хоккейный центр «Финт»,Октябрьская площадь 1,53.9030076,27.5622699,True,True
2,Минск,BY,6,Чижовка-арена,"ул. Ташкентская 19, Минск, Минская область",53.844534,27.628657,True,True
29,Могилев,BY,43,Дворец спорта «Могилёв»,ул. Гагарина 1,53.88464,30.32903,True,True
6,Молодечно,BY,18,Спортивно-развлекательный центр,"ул. Великий Гостинец, 102",54.3011204,26.8650159,True,True
