arena_name,address,source_url,kind,content_kind,is_primary,schedule_where,prices_with_schedule,update_cadence,auto_times,auto_prices,notes,checked_at
Чижовка-Арена,"Минск, ул. Ташкентская, 19",https://chizhovka-arena.by/fizkultura-i-sport/katanie-na-konkah,site,html,true,site_page,false,weekly_volatile,yes,no,"HTML-сетка на 2 недели (БА/МА). Цены не в гриде — «согласно прейскуранту»; кнопка «Узнать цены» без BYN в HTML. Telegram в контактах. robots: страница разрешена.",2026-09-05
ТЦ Замок,"Минск, пр-т Победителей, 65",https://tczamok.by/entertainments/ice-rink,site,html,true,site_page,true,stable_grid,yes,yes,"Золотой источник: сеансы :15 каждый час 10:15–22:15 + цены взр/дет будни/выходные на той же странице. Онлайн: koronaticket.by/rink. Круглый год.",2026-09-05
ТЦ Замок,"Минск, пр-т Победителей, 65",https://koronaticket.by/rink,directory,html,false,ticket_widget,true,daily,partial,partial,"Касса онлайн; слоты дня могут быть JS. Не канон — вторичный.",2026-09-05
Юность (парк Горького),"Минск, ул. Первомайская, 3",https://junost.hockey.by/clubs/skating/,site,html,true,social_or_blocked,true,weekend_post,no,yes,"Цены в HTML (взр 7 / дет 5.50 / прокат 6). Ссылка на junost.by/seansy_… → HTTP 403. Расписание — Instagram/«шапка профиля».",2026-09-05
Юность (парк Горького),"Минск, ул. Первомайская, 3",https://junost.by/seansy_massovogo_kataniya_na_vyhodnyh/,site,html,false,blocked_403,false,unknown,no,no,"403 nginx. Не использовать как primary до обхода/соцсети.",2026-09-05
Минск-Арена,"Минск, пр. Победителей, 111",https://minskarena.by/services.html,site,html,true,stale_widget,false,unknown,no,no,"Заголовок «расписание сеансов» есть; тело виджета битое/устаревшее (следы 2021). Билеты: saleframe.minskarena.by. Sitemap 500.",2026-09-05
Минск-Арена,"Минск, пр. Победителей, 111",https://bycard.by/afisha/minsk/katki/5821807,directory,html,false,aggregator,partial,event_afisha,partial,partial,"Агрегатор билетов, не официальный. Можно как кандидат; не автопубликовать без сверки.",2026-09-05
Ледовый дворец спорта (Притыцкого),"Минск, ул. Притыцкого, 27",http://led.by/category/timetable/,site,html,true,site_page,false,weekly_html,yes,no,"Еженедельная HTML-таблица МК + ОХМ на текущую и следующую неделю. Актуально на 31.08–13.09.2026.",2026-09-05
Ледовый дворец спорта (Притыцкого),"Минск, ул. Притыцкого, 27",http://led.by/mass_skating/,site,html,false,site_page,true,seasonal_pricelist,no,yes,"Прейскурант с 01.01.2026 (45/60/75 мин, будни/выходные) на той же странице, что правила. Расписание — соседний URL.",2026-09-05
DiaMond Ice,"Минский р-н, пересечение ул. Громова и МКАД 28 км, ТЦ DiaMond city, 3 эт.",https://diamondcity.by/ledovaya-arena,site,html,true,site_page,false,weekly_html,yes,no,"Недельная сетка МК/ОХМ/дискотека в HTML (проверено 07–11.09.2026). Цены на /ceny — в текстовом извлечении BYN нет (вероятно картинка/виджет).",2026-09-05
DiaMond Ice,"Минский р-н, пересечение ул. Громова и МКАД 28 км",https://diamondcity.by/ceny,site,image,false,site_page,unknown,unknown,no,maybe_ocr,"Кандидат OCR, если прейскурант картинкой.",2026-09-05
СДЮШОР фигурное (Малиновка),"Минск, пр-д Каролинский, 5-4",https://ledlife.by/massovye_kataniya/,site,html,true,blocked_403,unknown,weekly_html,no,no,"Индексаторы видят HTML-таблицу сеансов; прямой fetch 403 nginx/1.10.3. Нужен браузерный снимок или соцсеть. Тел. +375 17 396-62-74 / автоответчик 396-62-81.",2026-09-05
СДЮШОР фигурное (Малиновка),"Минск, пр-д Каролинский, 5-4",https://ledlife.by/massovoe_katanie/,site,html,false,site_page,false,rules_only,no,no,"Типы сеансов и правила; прейскурант «в кассе». Не сетка недели.",2026-09-05
Мобильный каток Немига (F1),"Минск, пр-т Победителей, 4А",https://f1katok.by/,site,html,true,site_page,true,seasonal,no_now,yes,"На 2026-09-05: «каток закрыт до следующего сезона» (окт–март). В сезон: часы 10:00–23:45 + цены в HTML; изменения — Instagram/телефон.",2026-09-05
Раубичи (крытый каток),"Минский р-н, Раубичи",https://www.rau.by/skates/,site,html,true,nowhere_now,true,closed,no,yes,"Явно: «Массовые катания не проводятся». Прейскурант на странице (взр 7 / дет 5 / прокат 5). Пока уровень не A.",2026-09-05
Манеж,"Минск (CRM seed, адрес пуст)",,manual,none,true,nowhere,false,n_a,no,no,"Есть в локальной БД как арена тренеров. Публичного массового катания не найдено. Для таба «Лёд» — уровень C, не цель конвейера.",2026-09-05
Школьные/дворовые катки Минска (пул),"разные адреса районов",https://minsksport.by/wp-content/uploads/2026/01/informacziya-o-rabote-fizkulturno-sportivnyh-sooruzhenij-v-zimnem-sezone-2025-2026-goda-v-g.-minsk.pdf,directory,pdf,true,pdf_hours,false,seasonal,partial,no,"PDF Минскспорта: часы работы открытых катков (школы), не сеансы МК. Потолок — уровень B (часы), не A.",2026-09-05
